,Title,Score,Producers_closeness_centrality,Producers_betweenness_centrality,Producers_degree_centrality,Producers_clustering_coefficient,Themes_closeness_centrality,Themes_betweenness_centrality,Themes_degree_centrality,Themes_clustering_coefficient
0,.hack//G.U. Returner,6.681,0.3418805000656824,0.011134275735814655,0.07279562542720439,0.5822368421052632,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
1,.hack//G.U. Trilogy,7.091,0.39679008619541767,0.02226855147162931,0.14285714285714288,0.16447368421052633,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
2,.hack//G.U. Trilogy: Parody Mode,6.391,0.39679008619541767,0.02226855147162931,0.14285714285714288,0.16447368421052633,0.691358024691358,0.01837365791896618,0.5306122448979591,0.6378151260504201
3,.hack//Gift,6.111,0.28697091393594704,0.0,0.002734107997265892,1.0,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
4,.hack//Liminality,6.591,0.35022952728043283,0.008593732768078264,0.07063112326270223,0.4928972990896485,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
5,.hack//Quantum,7.131,0.37083192750201804,0.00821393945288483,0.08902939166097061,0.35675270954941507,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
6,.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,6.351,0.39679008619541767,0.02226855147162931,0.14285714285714288,0.16447368421052633,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
7,.hack//Roots,6.881,0.3656698222727355,0.02047929279893029,0.10959216222374119,0.4284433588022827,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
8,.hack//Sign,6.951,0.35253342968693396,0.00736141173236447,0.06578947368421052,0.4505738752181373,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
9,.hack//Tasogare no Udewa Densetsu,6.561,0.37811761155092743,0.0129665000484262,0.09706083390293918,0.24403864390706498,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
10,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,6.141,0.0,0.0,0.0,0.0,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
11,.hack//The Movie: Sekai no Mukou ni,7.071000000000001,0.38234011583974875,0.006091716179461475,0.0966051492367282,0.2760999591496232,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
12,.hack//Unison,6.641,0.3818588339526758,0.012890599152117396,0.10457963089542038,0.23934594863447278,0.6049382716049383,0.0026283934250245773,0.3469387755102041,0.7647058823529411
13,0-sen Hayato,5.881,0.2614332855423317,0.0,0.000683526999316473,0.0,0.782707910750507,0.03377040161258782,0.7142857142857142,0.5385941644562334
14,009 Re:Cyborg,6.461,0.32477238350272125,0.005361436645199503,0.05194805194805195,0.6099776286353468,0.7424242424242424,0.024198083517353988,0.6530612244897959,0.5584677419354839
